,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude
94,Lebanon,10400.0,Beirut,"Tripoli, Lebanon",961.0,Arabic,33.854721000000005,35.862285
95,Lesotho,30355.0,Maseru,Maseru,266.0,English,-29.609988,28.233608
96,Liberia,111369.0,Monrovia,Monrovia,231.0,English,6.4280550000000005,-9.429499
97,Libya,1759540.0,,,218.0,Arabic,26.3351,17.228331
98,Liechtenstein,160.0,Vaduz,Schaan,423.0,German,47.1410392,9.520935
99,Lithuania,65300.0,Vilnius,Vilnius,370.0,Lithuanian,55.169438,23.881275
100,Luxembourg,2586.0,Luxembourg City,Luxembourg City,352.0,Luxembourgish,49.815273,6.129583
101,Madagascar,587041.0,Antananarivo,Antananarivo,261.0,French,-18.766947000000002,46.869107
102,Malawi,118484.0,Lilongwe,Lilongwe,265.0,English,-13.254307999999998,34.301525
103,Malaysia,329847.0,Kuala Lumpur,Johor Bahru,60.0,Malaysian language,4.210483999999999,101.97576600000001
104,Maldives,298.0,Mal�,Mal�,960.0,Divehi,3.202778,73.22068
105,Mali,1240192.0,Bamako,Bamako,223.0,French,17.570692,-3.9961660000000006
106,Malta,316.0,Valletta,Birkirkara,356.0,Maltese,35.937496,14.375416
107,Marshall Islands,181.0,Majuro,Majuro,692.0,Marshallese,7.131474000000001,171.184478
108,Mauritania,1030700.0,Nouakchott,Nouakchott,222.0,Arabic,21.00789,-10.940835
109,Mauritius,2040.0,Port Louis,Port Louis,230.0,French,-20.348404000000002,57.552152
110,Mexico,1964375.0,Mexico City,Mexico City,52.0,None,23.634501,-102.552784
111,Federated States of Micronesia,702.0,Palikir,Palikir,691.0,English,7.425553999999999,150.550812
112,Moldova,33851.0,Chi����,Chi����,373.0,Romanian,47.411631,28.369884999999996
113,Monaco,2.0,Monaco City,Monaco City,377.0,French,43.738417600000005,7.4246158
