,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude,Population_Density
114,Mongolia,1564116.0,Ulaanbaatar,Ulaanbaatar,976.0,Mongolian,46.862496,103.846656,2.0619743036961453
115,Montenegro,13812.0,Podgorica,Podgorica,382.0,Montenegrin language,42.708678000000006,19.37439,45.04322328410078
116,Morocco,446550.0,Rabat,Casablanca,212.0,Arabic,31.791702,-7.09262,82.6571716493114
117,Mozambique,799380.0,Maputo,Maputo,258.0,Portuguese,-18.665695,35.529562,37.986984913307815
118,Myanmar,676578.0,Naypyidaw,Yangon,95.0,Burmese,21.916221,95.955974,79.88054592375158
119,Namibia,824292.0,Windhoek,Windhoek,264.0,English,-22.95764,18.49041,3.026269817006595
120,Nauru,21.0,Yaren District,,674.0,English,-0.522778,166.931503,480.1904761904762
121,Nepal,147181.0,Kathmandu,Kathmandu,977.0,Nepali,28.394857,84.12400799999999,194.37773897446002
122,Netherlands,41543.0,Amsterdam,Amsterdam,31.0,Dutch,52.132633,5.291266,417.2267289314686
123,New Zealand,268838.0,Wellington,Auckland,64.0,English,-40.900557,174.88597099999998,18.007126968657705
124,Nicaragua,130370.0,Managua,Managua,505.0,Spanish,12.865416,-85.207229,50.20711820204035
125,Niger,1267000.0,Niamey,Niamey,227.0,French,17.607789,8.081666,18.398354380426202
126,Nigeria,923768.0,Abuja,Lagos,234.0,English,9.081999,8.675277000000001,217.54769487576968
127,North Korea,120538.0,Pyongyang,Pyongyang,850.0,Korean,40.339852,127.510093,212.93003866000763
128,North Macedonia,25713.0,Skopje,Skopje,389.0,Macedonian,41.608635,21.745275,71.43129934274492
129,Norway,323802.0,Oslo,Oslo,47.0,Norwegian,60.472024,8.468946,16.515944929308652
130,Oman,309500.0,Muscat,Seeb,968.0,Arabic,21.4735329,55.975413,17.01626817447496
131,Pakistan,796095.0,Islamabad,Karachi,92.0,Urdu,30.375321000000003,69.345116,272.0345159811329
132,Palau,459.0,Ngerulmud,Koror,680.0,English,7.51498,134.58252,39.72331154684096
133,Palestinian National Authority,,,,,Arabic,31.952162,35.233154,
134,Panama,75420.0,Panama City,Panama City,507.0,Spanish,8.537981,-80.782127,56.30388491116415
135,Papua New Guinea,462840.0,Port Moresby,Port Moresby,675.0,Tok Pisin,-6.314993,143.95555,18.96143159623196
136,Paraguay,406752.0,Asunci��,Ciudad del Este,595.0,Spanish,-23.442503,-58.44383199999999,17.319241208402172
137,Peru,1285216.0,Lima,Lima,51.0,Spanish,-9.189967,-75.015152,25.295711382366854
138,Philippines,300000.0,Manila,Manila,63.0,English,12.879721,121.774017,360.38871666666665
139,Poland,312685.0,Warsaw,Warsaw,48.0,Polish,51.919438,19.145136,121.43490733485777
140,Portugal,92212.0,Lisbon,Lisbon,351.0,Portuguese,39.399872,-8.224454,111.36746844228517
141,Qatar,11586.0,Doha,Doha,974.0,Arabic,25.354826,51.183884,244.43871914379423
142,Romania,238391.0,Bucharest,Bucharest,40.0,Romanian,45.943161,24.96676,81.19662235570974
143,Russia,17098240.0,Moscow,Moscow,7.0,Russian,61.52401,105.318756,8.44376584958452
144,Rwanda,26338.0,Kigali,Kigali,250.0,Swahili,-1.940278,29.873888,479.41946996734754
145,Saint Kitts and Nevis,261.0,Basseterre,Basseterre,1.0,English,17.357822,-62.782998,202.38697318007664
146,Saint Lucia,616.0,Castries,Castries,1.0,English,13.909444,-60.97889300000001,296.737012987013
147,Saint Vincent and the Grenadines,389.0,Kingstown,Calliaqua,1.0,English,12.984305,-61.287228000000006,258.2390745501285
148,Samoa,2831.0,Apia,Apia,685.0,Samoan,-13.759029,-172.10462900000002,71.53161427057577
149,San Marino,61.0,City of San Marino,City of San Marino,378.0,Italian,43.94236,12.457777,555.0819672131148
150,S�����������,964.0,S����,S����,239.0,,,,223.08713692946057
151,Saudi Arabia,2149690.0,Riyadh,Riyadh,966.0,Arabic,23.885942,45.079162,15.941148723769473
152,Senegal,196722.0,Dakar,Pikine,221.0,French,14.497401000000002,-14.452362,82.83956039487195
153,Serbia,77474.0,Belgrade,Belgrade,381.0,Serbian,44.016521,21.005859,89.64265430983298
154,Seychelles,455.0,"Victoria, Seychelles","Victoria, Seychelles",248.0,French,-4.679574,55.491977,214.56043956043956
155,Sierra Leone,71740.0,Freetown,Freetown,232.0,English,8.460555000000001,-11.779889,108.91016169500976
156,Singapore,716.0,,,65.0,Malay,1.352083,103.819836,7965.878491620112
157,Slovakia,49035.0,Bratislava,Bratislava,421.0,Slovak,48.669026,19.699024,111.22816355664321
158,Slovenia,20273.0,Ljubljana,Ljubljana,386.0,Slovene language,46.151241,14.995463,102.99146648251369
159,Solomon Islands,28896.0,Honiara,Honiara,677.0,English,-9.64571,160.156194,23.180474806201552
160,Somalia,637657.0,Mogadishu,Bosaso,252.0,Arabic,5.152149,46.199616,24.218200380455322
161,South Africa,1219090.0,Pretoria,Johannesburg,27.0,Afrikaans,-30.559482,22.937506,48.0344109130581
162,South Korea,99720.0,Seoul,Seoul,82.0,Korean,35.907757000000004,127.766922,518.542900120337
163,South Sudan,644329.0,Juba,Juba,211.0,English,6.876991900000001,31.3069788,17.1684232744452
164,Spain,505370.0,Madrid,Madrid,34.0,Spanish,40.463667,-3.74922,93.15309773037576
165,Sri Lanka,65610.0,Colombo,Colombo,94.0,Tamil,7.873054,80.77179699999999,332.31214753848496
166,Sudan,1861484.0,Khartoum,Omdurman,249.0,Arabic,12.862807,30.217636,22.999519738015476
167,Suriname,163820.0,Paramaribo,Paramaribo,597.0,Dutch,3.919305000000001,-56.02778299999999,3.54884629471371
168,Sweden,450295.0,Stockholm,S�����,46.0,Swedish,60.128161,18.643501,22.84158829211961
169,Switzerland,41277.0,Bern,Z���,41.0,German,46.818188,8.227511999999999,207.73874070305496
170,Syria,185180.0,Damascus,Damascus,963.0,Arabic,34.802075,38.996815000000005,92.18131007668215
171,Tajikistan,144100.0,Dushanbe,Dushanbe,992.0,Persian,38.861034,71.276093,64.68437196391395
